Ashburn-VA-EQIX-DC2,102,9,1,9,on,asixpprap3.sip-ix ,asixpprap3.sip-ix.neustar.com,HP,ProLiant DL380 G5,2UX703017R,10442,Production,"SIP-IX, itRS, Pathfinder","Assets.HOST.SIP-IX, itRS, Pathfinder",,,,6310
Ashburn-VA-EQIX-DC2,102,22,1,22,on,asixpprxm1.sip-ix ,asixpprxm1.sip-ix.neustar.com,HP,ProLiant DL385 G2,2UX7110364,11192,Production,SIP-IX,Assets.HOST.SIP-IX,,,,6310
Ashburn-VA-EQIX-DC2,102,4,1,4,on,,,HP,ProLiant DL580,USE703N6RJ,,,,,,,,
Ashburn-VA-EQIX-DC2,102,33,1,33,on,,,Juniper,SSG 550,0010DBD2C000,,,,,,,,
Ashburn-VA-EQIX-DC2,101,16,1,16,on,,,F5,3900,,155113,,,,,,,
Ashburn-VA-EQIX-DC2,101,26,1,26,on,asix4948sa2.sip-ix ,asix4948sa2.sip-ix.neustar.com,Cisco,4948,FOX110203GP,11123,Production,"Network - Shared, SIP-IX","Network.NET.SIP-IX, Network.NET.Network - Shared",,,,6310
Ashburn-VA-EQIX-DC2,101,36,1,36,on,,,Cisco,7604,1PUPAA6AAAA,,,,,,,,
Ashburn-VA-EQIX-DC2,101,28,1,28,on,,,Cisco,3560 G,FOC1101Y182,,,,,,,,
Ashburn-VA-EQIX-DC2,101,9,1,9,on,asixpprap2.sip-ix ,asixpprap2.sip-ix.neustar.com,HP,ProLiant DL380 G5,2UX703014Z,10446,Production,"SIP-IX, itRS, Pathfinder","Assets.HOST.SIP-IX, itRS, Pathfinder",,,,6310
Ashburn-VA-EQIX-DC2,101,12,1,12,on,,,HP,ProLiant DL380 G5,2UX709017E,,,,,,,,
Ashburn-VA-EQIX-DC2,101,15,1,15,on,asixpprdb3.sip-ix ,asixpprdb3.sip-ix.neustar.com,HP,ProLiant DL385 G2,2UX71102XJ,11191,,Pathfinder,Pathfinder,,,,6310
Ashburn-VA-EQIX-DC2,101,4,1,4,on,asixpprdb2.sip-ix ,asixpprdb2.sip-ix.neustar.com,HP,ProLiant DL580 G4,USE703N6RP,10450,,"SIP-IX, itRS, Pathfinder","Assets.HOST.SIP-IX, itRS, Pathfinder",,,,6310
Ashburn-VA-EQIX-DC2,101,33,1,33,on,,,Juniper,SSG 550,0010DBD2C780,,,,,,,,
Ashburn-VA-EQIX-DC5,213,35,1,35,on,asbnva-itp,asbnva-itp,Cisco,2811,FTX1310AIP3,,,NIS-CNAM,SS7-PEER.NIS-CNAM,,,,
Ashburn-VA-EQIX-DC5,213,37,1,37,on,ashbva-peer-rtr01,ashbva-peer-rtr01,Cisco,2821,FTX1309A36J,,,NIS-CNAM,SS7-PEER.NIS-CNAM,,,,
Ashburn-VA-EQIX-DC5,213,34,1,34,on,ashbva-peer-sw1,ashbva-peer-sw1,Cisco,3750,,,,NIS-CNAM,SS7-PEER.NIS-CNAM,,,,
Ashburn-VA-EQIX-DC5,213,31,1,31,on,ashbnva-peer-itp2,ashbnva-peer-itp2,Cisco,7200 VXR,73012518,,,NIS-CNAM,SS7-PEER.NIS-CNAM,,,,
Ashburn-VA-EQIX-DC5,213,38,1,38,on,,,Cisco,RPS 2300,FD01311SGYF,,,NIS-CNAM,SS7-PEER.NIS-CNAM,,,,
Ashburn-VA-EQIX-DC6,109,4,1,4,on,vmhost6-app-prod-iad ,vmhost6-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L2,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,9,1,9,on,vmhost14-app-prod-iad ,vmhost14-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L7,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,27,1,27,on,vmhost30-app-prod-iad ,vmhost30-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L9,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,13,1,13,on,vmhost20-app-prod-iad ,vmhost20-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LA,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,12,1,12,on,vmhost18-app-prod-iad ,vmhost18-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LB,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,28,1,28,on,vmhost32-app-prod-iad ,vmhost32-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LH,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,10,1,10,on,vmhost16-app-prod-iad ,vmhost16-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LK,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,2,1,2,on,vmhost2-app-prod-iad ,vmhost2-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LM,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,3,1,3,on,vmhost4-app-prod-iad ,vmhost4-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LP,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,5,1,5,on,vmhost8-app-prod-iad ,vmhost8-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LR,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,8,1,8,on,vmhost12-app-prod-iad ,vmhost12-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LS,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,7,1,7,on,vmhost10-app-prod-iad ,vmhost10-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LV,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,18,1,18,on,vmhost22-app-prod-iad ,vmhost22-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE119N9FT,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,20,1,20,on,vmhost26-app-prod-iad ,vmhost26-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE119N9FX,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,21,1,21,on,vmhost28-app-prod-iad ,vmhost28-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE119N9FZ,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,109,19,1,19,on,vmhost24-app-prod-iad ,vmhost24-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE119N9G2,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,10,1,10,on,vmhost15-app-prod-iad ,vmhost15-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5KZ,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,9,1,9,on,vmhost13-app-prod-iad ,vmhost13-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L1,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,7,1,7,on,vmhost9-app-prod-iad ,vmhost9-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L3,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,8,1,8,on,vmhost11-app-prod-iad ,vmhost11-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L4,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,12,1,12,on,vmhost17-app-prod-iad ,vmhost17-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L8,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,2,1,2,on,vmhost1-app-prod-iad ,vmhost1-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LC,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,3,1,3,on,vmhost3-app-prod-iad ,vmhost3-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LD,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,28,1,28,on,vmhost31-app-prod-iad ,vmhost31-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LL,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,13,1,13,on,vmhost19-app-prod-iad ,vmhost19-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LN,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,4,1,4,on,vmhost5-app-prod-iad ,vmhost5-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LQ,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,27,1,27,on,vmhost29-app-prod-iad ,vmhost29-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LT,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,5,1,5,on,vmhost7-app-prod-iad ,vmhost7-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5M1,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,20,1,20,on,vmhost25-app-prod-iad ,vmhost25-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE819N9FS,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,21,1,21,on,vmhost27-app-prod-iad ,vmhost27-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE119N9FV,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,18,1,18,on,vmhost21-app-prod-iad ,vmhost21-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE119N9G0,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,108,19,1,19,on,vmhost23-app-prod-iad ,vmhost23-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE119N9G1,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,12,1,12,on,svcs2-1-prod-iad ,svcs2-1-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE041N41N,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,9,1,9,off,de2-1,de2-1,HP,ProLiant DL360 G7,USE041N46V,,,,,,,,
Ashburn-VA-EQIX-DC6,107,17,1,17,on,rbatch2-1-prod-iad ,rbatch2-1-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE041N47M,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,7,1,7,on,vmhost1-app-office-iad ,vmhost1-app-office-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L5,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,3,1,3,on,monitor2-1-prod-iad ,monitor2-1-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5L6,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,2,1,2,off,usutil2-1-prod-iad ,usutil2-1-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LG,,Development,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,4,1,4,on,ops1-3-iad ,ops1-3-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LX,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,23,4,"20,21,22,23",on,kvstore2-1-prod-iad ,kvstore2-1-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DL,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,35,4,"32,33,34,35",on,kvstore2-4-prod-iad ,kvstore2-4-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DM,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,31,4,"28,29,30,31",on,kvstore2-3-prod-iad ,kvstore2-3-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DN,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,27,4,"24,25,26,27",on,kvstore2-2-prod-iad ,kvstore2-2-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DP,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,107,16,4,"13,14,15,16",on,vmhost2-ultra-prod-iad ,vmhost2-ultra-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N6KL,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,12,1,12,on,svcs1-1-prod-iad ,svcs1-1-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE041N41P,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,9,1,9,on,sciencedb1-1-prod-iad ,sciencedb1-1-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE041N46T,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,17,1,17,on,rbatch1-1,rbatch1-1,HP,ProLiant DL360 G7,USE041N47J,,,,,,,,
Ashburn-VA-EQIX-DC6,106,7,1,7,on,ops2-3-iad-agkn.net,ops2-3-iad-agkn.net,HP,ProLiant DL360 G7,USE042N5KV,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,2,1,2,on,usutil1-1 old,vmhost46-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5KX,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,4,1,4,on,vmhost33-app-prod-iad ,vmhost33-app-prod-iad.agkn.net,HP,ProLiant DL360 G7,USE042N5LJ,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,3,1,3,on,monitor1-1,monitor1-1,HP,ProLiant DL360 G7,USE042N5LO,,,,,,,,
Ashburn-VA-EQIX-DC6,106,31,4,"28,29,30,31",on,kvstore1-3-prod-iad ,kvstore1-3-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DK,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,35,4,"32,33,34,35",on,kvstore1-4-prod-iad ,kvstore1-4-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DQ,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,23,4,"20,21,22,23",on,kvstore1-1-prod-iad ,kvstore1-1-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DR,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,27,4,"24,25,26,27",on,kvstore1-2-prod-iad ,kvstore1-2-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N5DS,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,106,16,4,"13,14,15,16",on,vmhost1-ultra-prod-iad ,vmhost1-ultra-prod-iad.agkn.net,HP,ProLiant DL580 G7,USE119N6KM,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,2,1,2,on,sumdb1-1-dmz-iad ,sumdb1-1-dmz-iad.agkn.net,HP,ProLiant DL360 G7,USE041N12Q,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,17,2,"16,17",on,loader2-1-prod-iad ,loader2-1-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAHV,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,9,2,"8,9",on,sharddb2-1,vmhost2-io-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAHX,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,5,2,"4,5",off,log2-1-prod-iad ,log2-1-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAHZ,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,15,2,"14,15",on,sumdb2-2-prod-iad ,sumdb2-2-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAJ0,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,12,2,"11,12",on,vmhost4-io-prod-iad ,vmhost4-io-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE119N9C5,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,21,2,"20,21",on,sumdb2-1-prod-iad ,sumdb2-1-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE119N9C7,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,26,2,"25,26",on,event2-3-prod-iad ,event2-3-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE233C1HF,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,24,2,"23,24",on,event2-2-prod-iad ,event2-2-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE233C1HL,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,29,2,"28,29",on,event2-1-prod-iad ,event2-1-prod-iad.agkn.net,HP,ProLiant DL380P G8,2M232800PM,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,105,31,2,"30,31",on,event2-4-prod-iad ,event2-4-prod-iad.agkn.net,HP,ProLiant DL380P G8,2M232800PN,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,2,1,2,on,vmhost1-io-dmz-iad ,vmhost1-io-dmz-iad.agkn.net,HP,ProLiant DL360 G7,USE041N12R,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,5,2,"4,5",on,log1-1-prod-iad ,log1-1-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAHR,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,17,2,"16,17",on,loader1-1-prod-iad ,loader1-1-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAHS,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,9,2,"8,9",on,sharddb1-1,vmhost1-io-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAHT,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,15,2,"14,15",on,sumdb1-2-prod-iad ,sumdb1-2-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE041NAJ1,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,12,2,"11,12",on,vmhost3-io-prod-iad ,vmhost3-io-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE119N9C4,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,21,2,"20,21",on,sumdb1-1-prod-iad ,sumdb1-1-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE119N9C6,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,24,2,"23,24",on,event1-2-prod-iad ,event1-2-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE233C1H5,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,26,2,"25,26",on,event1-3-prod-iad ,event1-3-prod-iad.agkn.net,HP,ProLiant DL380 G7,USE233C1H7,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,29,2,"28,29",on,event1-1-prod-iad ,event1-1-prod-iad.agkn.net,HP,ProLiant DL380P G8,2M232800PK,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,104,31,2,"30,31",on,event1-4-prod-iad ,event1-4-prod-iad.agkn.net,HP,ProLiant DL380P G8,2M232800PL,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,103,20,1,20,on,console1-prod-iad ,console1-prod-iad.agkn.net,Cisco,2800,FTX1442A0KE,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,103,21,1,21,on,core1 chasis1,core1 chasis1,Juniper,EX4200,BP0210255660,,,,,,,,
Ashburn-VA-EQIX-DC6,103,24,1,24,on,core1 chasis 0,core1 chasis 0,Juniper,EX4200,BP0210355872,,,,,,,,
Ashburn-VA-EQIX-DC6,103,39,2,"38,39",on,edge1-iad ,edge1-iad.agkn.net,Juniper,M7i,,,,,,,,,
Ashburn-VA-EQIX-DC6,103,9,2,"7,8,9",on,fabric2,fabric2,Cisco,MDS 9222i,FOX1428H4QM,,,,,,,,
Ashburn-VA-EQIX-DC6,103,5,2,"4,5",on,,,Juniper,MX80,ABCD2969,,,,,,,,
Ashburn-VA-EQIX-DC6,103,3,1,3,on,ops2-2-iad ,ops2-2-iad.agkn.net,HP,Proliant DL360 G7,USE042NFP2,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,103,2,1,2,on,ops2-1-iad ,ops2-1-iad.agkn.net,HP,Proliant DL360 G7,USE042NFP3,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,103,15,1,15,on,slb2-prod-iad ,slb2-prod-iad.agkn.net,Brocade,ServerIron ADX 1000,E30530F022,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,103,18,1,18,on,slb4-prod-iad ,slb4-prod-iad.agkn.net,Brocade,ServerIron ADX 1000,E32520J0WN,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,103,17,2,"16,17",on,vpn2-1-prod-iad ,vpn2-1-prod-iad.agkn.net,Juniper,SRX 550,AL3913AK0134,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,102,20,1,20,on,console2-prod-iad ,console2-prod-iad.agkn.net,Cisco,2800,FTX1442A0KD,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,102,37,1,37,on,,,Cisco,ASA 5510,JMX1032K14H,,,,,,,,
Ashburn-VA-EQIX-DC6,102,21,1,21,on,core1 chasis3,core1 chasis3,Juniper,EX4200,BP0210355757,,,,,,,,
Ashburn-VA-EQIX-DC6,102,24,1,24,on,core1 chasis 2,core1 chasis 2,Juniper,EX4200,BP0210355829,,,,,,,,
Ashburn-VA-EQIX-DC6,102,27,1,27,on,core1 chasis 4,core1 chasis 4,Juniper,EX4200,BP0212224140,,,,,,,,
Ashburn-VA-EQIX-DC6,102,39,2,"38,39",on,edge2-iad ,edge2-iad.agkn.net,Juniper,M7i,,,,,,,,,
Ashburn-VA-EQIX-DC6,102,9,3,"7,8,9",on,fabric1,fabric1,Cisco,MDS 9222i,FOX1428H4QL,,,,,,,,
Ashburn-VA-EQIX-DC6,102,5,2,"4,5",on,edge2-iad,edge2-iad,Juniper,MX80,ABCD2859,,,,,,,,
Ashburn-VA-EQIX-DC6,102,2,1,2,on,ops1-1-iad ,ops1-1-iad.agkn.net,HP,Proliant DL360 G7,USE042NFP4,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,102,3,1,3,on,ops1-2-iad ,ops1-2-iad.agkn.net,HP,Proliant DL360 G7,USE048N860,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,102,15,1,15,on,slb1-prod-iad ,slb1-prod-iad.agkn.net,Brocade,ServerIron ADX 1000,E30530F027,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,102,18,1,18,on,slb3-prod-iad ,slb3-prod-iad.agkn.net,Brocade,ServerIron ADX 1000,E32520J0WS,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-EQIX-DC6,102,17,2,"16,17",on,vpn1-1-prod-iad ,vpn1-1-prod-iad.agkn.net,Juniper,SRX 550,AL3913AK0206,,Production,Media Intelligence,Assets.HOST.Media Intelligence,,,,
Ashburn-VA-LTSY-DC3,E55-F43,13,9,"5,6,7,8,9,10,11,12,13",,,,Juniper,MX480,,,,,,,,,
Ashburn-VA-LTSY-DC3,E55-F42,38,1,38,,dnas-dub01-02,dnas-dub01-02,Cisco,Catalyst 4948 ,,,,,,,,,
Ashburn-VA-LTSY-DC3,E55-F42,39,1,39,,mrv1ash ,mrv1ash.scrubbingcenter.com,MRV,LX 4000T,,,Production,Site Protect,Site Protect,,,,
Ashburn-VA-LTSY-DC3,E55-F42,14,1,14,,ntsc1ash ,ntsc1ash.scrubbingcenter.com,Citrix,NetScaler 17500,492EJ21ESX,148756,Production,Site Protect,Network.NET.Site Protect,,,,
Ashburn-VA-LTSY-DC3,E55-F42,21,2,20.21,,pcap1ash ,pcap1ash.scrubbingcenter.com,HP,ProLiant DL385 G7,,,Production,Site Protect,Site Protect
Ashburn-VA-LTSY-DC3,E55-F42,19,2,18.19,,admin1ash ,admin1ash.scrubbingcenter.com,HP,ProLiant DL385 G7,,,Production,Site Protect,Site Protect
Ashburn-VA-LTSY-DC3,E55-F42,17,2,16.17,,admin2ash ,admin2ash.scrubbingcenter.com,HP,ProLiant DL385 G7,,,Production,Site Protect,Site Protect
Ashburn-VA-LTSY-DC3,E55-F42,3,1,3,,rtr1ash,rtr1ash,Riorey,RE4000,,,,,
Ashburn-VA-LTSY-DC3,E55-F42,27,1,27,,,,ARBOR,TMS-4000,,,,,
Ashburn-VA-LTSY-DC3,E55-F42,10,1,10,,,,ARBOR,TMS-4000,,,,,
Ashburn-VA-LTSY-DC3,E55-F41,39,1,39,,,,HP,E3800,,,,,
Ashburn-VA-LTSY-DC3,E55-F41,42,2,"41,42",,rtr-iadsp01-01  ,rtr-iadsp01-01.ultra.neustar.com,Juniper,J6350,JN11D197FADB,152525,Production,UltraDNS-Common,Ultra-Network
Ashburn-VA-LTSY-DC3,E55-F41,37,2,"36,37",,uvm-1,uvm-iadsp01-01.prod.ultradns.net,HP,ProLiant DL385 G7,USE21628E5,,Production,UltraDNS-Common,Ultra-Hypervisor
